174;San Luis;19;88;5
175;San Luis II;11;86;2
176;San Marino;39;87;3
177;San Nicolas;44;50;9
178;San Pascual;54;46;1
179;San Pedro Claver;72;72;3
180;San Vicente;34;47;4
181;Santa Anita;99;40;3
182;Santa Elena;71;50;7
183;Santa Fe;59;69;3
184;Santa Isabel;71;26;1
185;Santa Monica Popular;62;64;2
186;Santa Rosa;53;40;3
187;Santo Domingo;87;42;3
188;Sector Altos de Normandia;41;39;1
189;Sector Melendez;123;28;1
190;Siete de Agosto;52;89;6
191;Siloe;79;17;30
192;Simon Bolivar;57;57;4
193;Sindical;69;74;3
194;Sucre;52;50;18
195;Tejares Cristales;57;24;1
196;Terron Colorado;45;22;7
197;Tierra Blanca;81;16;6
198;Ulpiano Lloreda;58;85;3
199;Unidad Bueno Madrid;32;59;2
200;Union de Vivienda Popular;89;65;16
201;Urbanizacion Ciudad Jardin;135;39;1
202;Urbanizacion Santa Elena;77;51;4
203;Urbanizacion Calimio;12;90;6
204;Villamercedes I - Villa Luz - Las Garzas;90;96;6
205;Vallado;92;75;19
206;Valle Grande;63;104;16
207;Venezuela - Urbanización Canaveralejo;85;16;3
208;Versalles;38;46;2
209;Villablanca;71;79;5
210;Villa del Lago;61;86;5
211;Villa del Prado - El Guabito;34;84;2
212;Villa del Sur;88;55;1
213;Villa San Marcos;73;100;3
214;Villacolombia;50;75;2
215;Villanueva;70;65;2
216;Vista Hermosa;46;4;3
217;Yira Castro;73;77;1
