Napoles; 3,386337;-76,548478

Normandia; 3,452966;-76,544361

Nueva Floresta; 3,438552;-76,495443

Nueva Tequendama; 3,413199;-76,543679

Obrero; 3,447927;-76,520675

Olaya Herrera; 3,477604;-76,508786

Omar Torrijos; 3,424882;-76,486684

Parcelaciones Pance; 3,343053;-76,534628

Paso del Comercio; 3,493976;-76,487356

Petecuy I; 3,474376;-76,479998

Petecuy II; 3,479988;-76,481908

Petecuy III; 3,476986;-76,480940

Pizamos I; 3,402237;-76,474805

Pizamos II; 3,404193;-76,472057

Pizamos III; 3,408410;-76,475447

Polvoines; 3,371152;-76,554855

Porvenir; 3,459261;-76,514159

Potrero Grande; 3,407565;-76,469994

Prados del Limonar; 3,390547;-76,528369

Prados del Norte; 3,470821;-76,520365

Prados del Oriente; 3,433009;-76,514355

Prados del Sur; 3,388673;-76,555041

Primavera; 3,422518;-76,509166

Primero de Mayo; 3,406430;-76,533546

Primitivo Crespo; 3,438239;-76,516750

Promociones Populares; 3,425742;-76,472626

Puertas del Sol; 3,432305;-76,473498

Puerto Mallarino; 3,450388;-76,483303

Puerto Nuevo; 3,453226;-76,476565

Republica Israel; 3,407480;-76,513013

Rodrigo Lara Bonilla; 3,427940;-76,488922

Saavedra Galindo; 3,441418;-76,514829

Salomia; 3,464171;-76,505023

San Benito; 3,428669;-76,509808

San Fernando Nuevo; 3,426564;-76,543969

San Juan Bosco; 3,444364;-76,532202

San Judas Tadeo I; 3,408727;-76,524603

San Judas Tadeo II; 3,414575;-76,523273

San Luis; 3,480577;-76,486661

San Luis II; 3,488933;-76,488506

San Marino; 3,460021;-76,487659

San Nicolas; 3,455046;-76,524512

San Pascual; 3,445732;-76,528466

San Pedro Claver; 3,427923;-76,502170

San Vicente; 3,465737;-76,527496

Santa Anita; 3,400347;-76,534801

Santa Elena; 3,428647;-76,524472

Santa Fe; 3,440639;-76,505777

Santa Isabel; 3,428124;-76,548158

Santa Monica Popular; 3,437100;-76,510254

Santo Rosa; 3,446704;-76,534058

Santo Domingo; 3,412185;-76,532199

Sector Altos de Normandia; 3,458964;-76,535662

Sector Melendez; 3,376222;-76,546052

Siete de Agosto; 3,447490;-76,485184

Siloe; 3,420827;-76,557334

Simon Bolivar; 3,442631;-76,517776

Sindical; 3,430688;-76,500405

Sucre; 3,447046;-76,524582

Tejares Cristales; 3,442965;-76,550673

Terron Colorado; 3,454452;-76,552903

Tierra Blanca; 3,418967;-76,558518

Ulpiano Lloreda; 3,441585;-76,489890

Unidad Bueno Madrid; 3,467579;-76,515931

Union de Vivienda Popular; 3,410735;-76,509744

Urbanizacion Ciudad Jardin; 3,364483;-76,535931

Urbanizacion Santa Elena; 3,422950;-76,523434

Urbanizacion Calimio; 3,487752;-76,484789

Villamercedes I - Villa Luz - Las Garzas; 3,409208;-76,478278

Vallado; 3,407410;-76,499949

Valle Grande; 3,436904;-76,470256

Venezuela - Urbanización Canaveralejo; 3,414711;-76,558795

Versalles; 3,461793;-76,528651

Villablanca; 3,428745;-76,495533

Villa del Lago; 3,438310;-76,488211

Villa del Prado - El Guabito; 3,465772;-76,490872

Villa del Sur; 3,411610;-76,519438

Villa San Marcos; 3,426737;-76,474439

Villacolombia; 3,449242;-76,499707

Villanueva; 3,429785;-76,509218

Vista Hermosa; 3,453242;-76,570631

Yira Castro; 3,426641;-76,497943
