"congresistaid";"categoría";"fecha"
1;2;"2011-06-07"
1;2;"2011-06-01"
1;12;"2012-06-12"
1;13;"2011-05-25"
1;13;"2011-05-24"
1;13;"2011-05-30"
1;13;"2011-06-01"
1;16;"2011-06-07"
1;16;"2011-06-16"
1;16;"2010-12-16"
1;17;"2011-04-25"
1;17;"2011-04-28"
1;17;"2011-04-06"
1;17;"2011-04-12"
1;17;"2011-05-03"
1;17;"2011-04-26"
1;17;"2011-05-04"
1;17;"2011-04-13"
1;20;"2010-11-24"
1;20;"2010-09-23"
1;20;"2011-06-09"
1;20;"2011-06-16"
1;20;"2010-12-14"
1;8;"2012-09-11"
1;8;"2013-12-03"
1;31;"2011-06-08"
1;34;"2010-11-09"
1;34;"2011-06-01"
1;41;"2012-09-11"
1;41;"2012-04-10"
1;45;"2012-11-06"
1;45;"2013-05-07"
1;47;"2011-05-31"
1;48;"2011-12-14"
1;49;"2012-09-21"
1;49;"2011-09-21"
1;47;"2011-12-14"
1;50;"2011-05-31"
1;51;"2011-05-31"
1;55;"2012-05-03"
1;56;"2012-06-14"
1;30;"2010-12-06"
1;30;"2010-12-15"
1;30;"2010-12-14"
1;40;"2012-06-20"
1;40;"2012-11-06"
1;40;"2013-06-11"
1;70;"2010-09-07"
1;50;"2011-06-15"
1;50;"2010-12-14"
1;77;"2010-10-19"
1;78;"2010-12-14"
1;79;"2011-05-31"
1;50;"2011-06-16"
1;47;"2010-12-14"
1;82;"2010-11-30"
1;82;"2010-11-29"
1;82;"2010-12-14"
1;4;"2010-12-16"
1;91;"2011-04-12"
1;91;"2010-12-01"
1;91;"2010-12-16"
1;91;"2011-05-17"
1;93;"2010-12-15"
1;93;"2010-12-14"
1;93;"2010-12-01"
1;45;"2011-05-17"
1;45;"2010-12-15"
1;95;"2011-06-08"
1;96;"2011-06-15"
1;72;"2012-05-03"
1;72;"2010-11-16"
1;97;"2010-10-12"
1;97;"2010-08-24"
1;72;"2011-05-25"
1;4;"2010-09-07"
1;4;"2010-09-28"
1;4;"2010-12-07"
1;47;"2010-10-05"
1;157;"2014-05-27"
1;157;"2014-05-28"
1;157;"2014-06-03"
1;160;"2013-12-12"
1;162;"2014-04-22"
1;72;"2013-06-20"
1;50;"2013-10-29"
1;50;"2013-11-05"
1;50;"2013-12-13"
1;18;"2013-08-20"
1;72;"2014-06-18"
1;164;"2013-11-26"
1;164;"2013-11-06"
1;164;"2013-12-12"
1;59;"2013-12-11"
1;50;"2013-06-04"
1;50;"2014-05-20"
1;50;"2014-05-27"
1;50;"2013-11-27"
1;158;"2013-05-07"
1;158;"2013-05-14"
1;164;"2013-04-03"
1;173;"2012-11-20"
1;79;"2013-06-18"
1;181;"2012-06-14"
1;181;"2012-06-12"
1;50;"2012-04-10"
1;135;"2013-06-18"
1;128;"2013-05-14"
1;118;"2012-04-10"
1;50;"2013-04-30"
1;78;"2012-11-15"
1;188;"2011-12-15"
1;163;"2012-06-19"
1;163;"2012-06-20"
1;189;"2012-04-10"
1;14;"2012-06-13"
1;194;"2012-12-11"
1;194;"2012-12-10"
1;194;"2013-04-02"
1;194;"2013-04-04"
1;29;"2012-12-10"
1;14;"2012-12-13"
1;161;"2012-11-26"
1;29;"2013-05-21"
1;29;"2013-04-23"
1;61;"2012-06-14"
1;61;"2011-12-13"
1;61;"2011-12-14"
1;61;"2012-06-13"
1;61;"2012-06-28"
1;61;"2012-06-20"
1;61;"2011-12-16"
1;147;"2013-11-26"
1;202;"2013-12-16"
1;202;"2014-06-18"
1;37;"2013-06-19"
1;3;"2013-06-18"
1;208;"2011-12-16"
1;39;"2012-06-19"
1;32;"2011-11-29"
1;209;"2011-12-05"
1;211;"2012-08-28"
1;214;"2013-12-10"
1;214;"2013-12-11"
1;133;"2013-12-16"
1;156;"2013-10-08"
1;221;"2013-10-30"
1;221;"2013-10-08"
1;221;"2013-10-16"
1;221;"2013-10-09"
1;221;"2013-10-15"
1;221;"2013-10-01"
1;221;"2013-11-05"
1;163;"2014-06-19"
1;19;"2013-11-19"
1;19;"2013-11-20"
1;179;"2013-06-19"
1;179;"2013-06-18"
1;179;"2013-06-20"
1;206;"2013-06-13"
1;206;"2013-06-17"
1;206;"2013-06-19"
1;226;"2013-10-22"
2;2;"2011-06-07"
2;2;"2011-06-01"
2;3;"2011-09-13"
2;12;"2012-06-12"
2;13;"2011-05-25"
2;13;"2011-03-15"
2;13;"2011-05-24"
2;13;"2011-05-30"
2;13;"2011-06-01"
2;13;"2011-03-22"
2;16;"2011-06-07"
2;16;"2011-05-25"
2;16;"2011-06-16"
2;16;"2010-12-16"
2;16;"2010-12-07"
2;17;"2011-04-25"
2;17;"2011-03-09"
2;17;"2011-04-28"
2;17;"2011-04-06"
2;17;"2011-04-12"
2;17;"2011-05-03"
2;17;"2011-03-02"
2;17;"2011-03-01"
2;17;"2011-02-22"
2;17;"2011-04-26"
2;17;"2011-05-04"
2;17;"2011-04-13"
2;17;"2011-03-08"
2;17;"2011-02-23"
2;20;"2011-05-31"
2;20;"2010-11-24"
2;20;"2010-11-10"
2;20;"2011-06-09"
2;20;"2011-06-16"
2;20;"2010-12-14"
2;8;"2012-09-11"
2;8;"2013-12-03"
2;22;"2011-05-24"
2;31;"2011-06-08"
2;34;"2011-05-18"
2;34;"2010-10-26"
2;34;"2010-11-09"
2;34;"2011-06-01"
2;41;"2012-09-11"
2;41;"2012-04-10"
2;45;"2012-11-06"
2;45;"2013-05-07"
2;47;"2011-05-31"
2;48;"2011-12-14"
2;47;"2011-12-14"
2;50;"2011-05-31"
2;51;"2011-05-31"
2;55;"2012-05-03"
2;56;"2012-06-14"
2;58;"2010-11-16"
2;43;"2011-10-04"
2;30;"2010-12-06"
2;30;"2010-12-15"
2;30;"2010-12-14"
2;40;"2012-06-20"
2;40;"2012-11-06"
2;40;"2013-06-11"
2;70;"2010-09-07"
2;50;"2011-06-15"
2;71;"2010-09-14"
2;50;"2010-12-14"
2;77;"2010-10-19"
2;78;"2010-12-14"
2;79;"2011-05-31"
2;50;"2011-06-16"
2;47;"2010-12-14"
2;82;"2010-11-30"
2;82;"2010-09-28"
2;82;"2010-08-06"
2;82;"2010-11-29"
2;82;"2010-12-14"
2;4;"2010-12-16"
2;88;"2011-06-01"
2;91;"2011-04-12"
2;91;"2010-12-01"
2;91;"2010-10-13"
2;91;"2010-12-16"
2;91;"2011-05-17"
2;93;"2010-09-07"
2;93;"2010-12-15"
2;93;"2010-12-14"
2;93;"2010-12-01"
2;45;"2011-05-17"
2;45;"2010-12-15"
2;95;"2011-06-08"
2;96;"2011-06-15"
2;72;"2012-05-03"
2;72;"2010-11-16"
2;97;"2010-10-12"
2;97;"2010-08-24"
2;72;"2011-05-25"
2;4;"2010-09-07"
2;4;"2010-09-28"
2;4;"2010-12-07"
2;113;"2010-09-07"
2;47;"2010-10-05"
2;157;"2014-05-27"
2;157;"2014-05-28"
2;157;"2014-06-03"
2;160;"2013-12-12"
2;162;"2014-04-22"
2;72;"2013-06-20"
2;50;"2013-10-29"
2;50;"2013-11-05"
2;50;"2013-12-13"
2;18;"2013-08-20"
2;72;"2014-06-18"
2;164;"2013-11-26"
2;164;"2013-11-06"
2;164;"2013-12-12"
2;59;"2013-12-11"
2;50;"2013-06-04"
2;50;"2014-05-20"
2;50;"2014-05-27"
2;50;"2013-11-27"
2;158;"2013-05-07"
2;158;"2013-05-14"
2;164;"2013-04-03"
2;173;"2012-11-20"
2;79;"2013-06-18"
2;174;"2013-05-22"
2;175;"2014-04-23"
2;175;"2014-04-08"
2;175;"2014-05-06"
2;181;"2012-06-14"
2;181;"2012-06-12"
2;50;"2012-04-10"
2;135;"2013-06-18"
2;128;"2013-05-14"
2;118;"2012-04-10"
2;50;"2013-04-30"
2;78;"2012-11-15"
2;188;"2011-12-15"
2;163;"2012-06-19"
2;163;"2012-06-20"
2;163;"2012-06-05"
2;189;"2012-04-10"
2;14;"2012-06-13"
2;194;"2012-12-11"
2;194;"2012-12-10"
2;194;"2012-11-28"
2;194;"2013-04-02"
2;194;"2013-04-04"
2;29;"2012-12-10"
2;14;"2012-12-13"
2;161;"2012-11-26"
2;29;"2013-05-21"
2;29;"2013-04-23"
2;61;"2011-12-02"
2;61;"2011-12-01"
2;61;"2012-06-14"
2;61;"2011-12-13"
2;61;"2012-05-30"
2;61;"2011-12-14"
2;61;"2011-11-30"
2;61;"2012-05-31"
2;61;"2012-06-13"
2;61;"2012-06-28"
2;61;"2012-06-20"
2;61;"2011-12-16"
2;147;"2013-11-26"
2;202;"2013-12-16"
2;202;"2014-06-18"
2;37;"2013-06-19"
2;26;"2011-12-06"
2;3;"2013-06-18"
2;208;"2011-12-16"
2;208;"2011-12-06"
2;39;"2012-06-19"
2;39;"2012-04-25"
2;32;"2011-11-29"
2;209;"2011-12-05"
2;211;"2012-08-28"
2;214;"2013-12-10"
2;214;"2013-12-11"
2;133;"2013-12-16"
2;133;"2013-12-04"
2;156;"2013-10-08"
2;221;"2013-10-30"
2;221;"2013-10-08"
2;221;"2013-10-16"
2;221;"2013-10-09"
2;221;"2013-10-15"
2;221;"2013-09-17"
2;221;"2013-10-01"
2;221;"2013-11-05"
2;163;"2014-06-19"
2;19;"2013-11-19"
2;19;"2013-11-20"
2;61;"2013-05-30"
2;179;"2013-06-19"
2;179;"2013-06-18"
2;179;"2013-06-05"
2;179;"2013-06-20"
2;179;"2013-06-04"
2;206;"2013-06-13"
2;206;"2013-05-29"
2;206;"2013-06-17"
2;206;"2013-06-29"
2;206;"2013-05-23"
2;206;"2013-05-25"
2;206;"2013-06-19"
2;226;"2013-10-22"
5;2;"2011-05-03"
5;2;"2011-05-04"
5;2;"2011-06-07"
5;2;"2011-06-01"
5;12;"2012-06-12"
5;13;"2011-05-25"
5;13;"2011-05-24"
5;13;"2011-05-30"
5;13;"2011-06-01"
5;16;"2011-06-07"
5;16;"2011-06-16"
5;16;"2010-12-16"
5;17;"2011-04-25"
5;17;"2011-04-28"
5;17;"2011-04-06"
5;17;"2011-04-12"
5;17;"2011-05-03"
5;17;"2011-04-26"
5;17;"2011-05-04"
5;17;"2011-04-13"
5;20;"2010-11-24"
5;20;"2011-06-09"
5;20;"2011-06-16"
5;20;"2010-12-14"
5;8;"2012-09-11"
5;8;"2013-12-03"
5;31;"2011-06-08"
5;34;"2010-11-09"
5;34;"2011-06-01"
5;41;"2012-09-11"
5;41;"2012-04-11"
5;41;"2012-04-10"
5;41;"2012-05-02"
5;44;"2012-03-27"
5;45;"2012-11-06"
5;45;"2013-05-07"
5;45;"2011-10-05"
5;47;"2011-05-31"
5;48;"2011-12-14"
5;47;"2011-12-14"
5;50;"2011-05-31"
5;51;"2011-05-31"
5;55;"2012-05-03"
5;56;"2012-06-14"
5;30;"2010-12-06"
5;30;"2010-11-23"
5;30;"2010-11-24"
5;30;"2010-11-16"
5;30;"2010-12-15"
5;30;"2010-08-18"
5;30;"2010-11-18"
5;30;"2010-12-14"
5;40;"2012-06-20"
5;40;"2012-11-06"
5;40;"2013-06-11"
